campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP016,13686317849,375883156,393677129.86,20410131,0.0275,19.29
CMP049,13678441909,375790166,393822976.90,20408613,0.0275,19.30
CMP032,13707961325,376277379,395003523.04,20469062,0.0274,19.30
CMP034,13663387190,375490759,394029600.32,20403716,0.0275,19.31
CMP040,13707493063,376364561,395064372.66,20444877,0.0275,19.32
CMP004,13705584584,376906722,395992597.40,20491770,0.0275,19.32
CMP047,13704337167,376533784,395185526.77,20447393,0.0275,19.33
CMP045,13689842314,376256850,394756303.73,20424317,0.0275,19.33
CMP022,13703365735,377109904,395899684.64,20480486,0.0275,19.33
CMP024,13665607452,375614418,394482754.56,20406008,0.0275,19.33
CMP023,13657508417,375769033,394203576.87,20390213,0.0275,19.33
CMP030,13709505942,376521873,395347161.22,20446359,0.0275,19.34
CMP036,13697771564,376253304,394989261.22,20426352,0.0275,19.34
CMP018,13708338704,377076026,396003175.53,20477639,0.0275,19.34
CMP046,13752458089,378006106,396985202.42,20528171,0.0275,19.34
CMP042,13717935895,377260350,396576467.39,20507021,0.0275,19.34
CMP029,13704804082,376743269,395514184.28,20449831,0.0275,19.34
CMP009,13684413796,376236572,395053678.55,20424492,0.0275,19.34
CMP037,13691154333,376005366,394615936.54,20401715,0.0275,19.34
CMP043,13715370363,377071602,395868585.16,20466122,0.0275,19.34
CMP050,13665048497,375511971,394695095.35,20404558,0.0275,19.34
CMP007,13668313927,375232652,393925238.26,20364686,0.0275,19.34
CMP006,13704884631,376403367,395789810.57,20459696,0.0275,19.34
CMP039,13663357371,375526553,394241756.62,20379421,0.0275,19.35
CMP017,13674108420,375597240,394528279.21,20392857,0.0275,19.35
CMP005,13648608306,375627610,394780333.96,20403485,0.0275,19.35
CMP015,13659959927,374883682,393803429.73,20352016,0.0274,19.35
CMP044,13680765849,375799947,394883015.10,20407763,0.0275,19.35
CMP028,13696213215,375861601,394753306.85,20400303,0.0274,19.35
CMP003,13684916614,376066601,394816516.20,20403114,0.0275,19.35
CMP019,13675562649,376096719,395062881.56,20415450,0.0275,19.35
CMP013,13687093774,375944035,394528681.85,20386552,0.0275,19.35
CMP033,13709613216,376500708,395522679.16,20436890,0.0275,19.35
CMP002,13687848269,375990241,394650595.82,20390946,0.0275,19.35
CMP008,13676500074,375189059,394037814.58,20359059,0.0274,19.35
CMP001,13702609739,376766821,395825252.10,20450945,0.0275,19.35
CMP031,13692746148,376199861,394859226.37,20399788,0.0275,19.36
CMP041,13696323552,376343653,395477029.98,20431606,0.0275,19.36
CMP048,13708562310,376549228,395273421.82,20420446,0.0275,19.36
CMP027,13719269461,377233894,396153928.92,20462054,0.0275,19.36
CMP020,13693200005,376361243,395182595.71,20410663,0.0275,19.36
CMP014,13688374487,376224010,395539960.03,20428052,0.0275,19.36
CMP026,13652760288,375491308,394442607.58,20370126,0.0275,19.36
CMP038,13711890563,376608656,395835345.24,20441954,0.0275,19.36
CMP025,13688208851,375831578,395155969.81,20406444,0.0275,19.36
CMP011,13714973625,377330481,396309000.78,20463005,0.0275,19.37
CMP021,13687991449,375796619,395043344.41,20382306,0.0275,19.38
CMP010,13699272787,376409406,395739460.66,20412776,0.0275,19.39
CMP012,13679171528,375898116,395411777.62,20392719,0.0275,19.39
CMP035,13689287094,376229378,395618859.64,20399031,0.0275,19.39
